sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
According to article 16 of the General Data Protection Regulation ( GDPR ) you are entitled to demand of us to rectify any incorrect personal data concerning you with no delay .	NaN	NaN	NaN	NaN
You have the right to demand of us to delete your personal data with no delay .	NaN	NaN	NaN	NaN
You have the right to request to review , correct , update or delete inaccuracies to certain information about you that we keep on file by logging into your account to update your relevant information	['review','correct','update','delete']	['the right']	['log']	['your account']
Right to have your data deleted in accordance with Art	NaN	NaN	NaN	NaN
Right to rectification : You have the right to modify and update your personal data when incorrect data are being used .	NaN	NaN	NaN	NaN
Right to removal : You have the right to delete all personal data that have been gathered .	NaN	NaN	NaN	NaN
Therefore , the right to access , the right to erasure , the right to rectification and the right to data portability can not be enforced after expiration of the retention period .	NaN	NaN	NaN	NaN
Users have the right to verify the accuracy of their Data and ask for it to be updated or corrected .	NaN	NaN	NaN	NaN
Have their Personal Data deleted or otherwise removed	NaN	NaN	NaN	NaN
Users have the right , under certain circumstances , to obtain the erasure of their Data from the Owner .	NaN	NaN	NaN	NaN
Request erasure of your personal data : This enables you to ask us to delete or remove personal data where there is no good reason for us continuing to process it	NaN	NaN	NaN	NaN
You also have the right to ask us to delete or remove your personal data where you have successfully exercised your right to object to processing ( see below ) , where we may have processed your information unlawfully or where we are required to erase your personal data to comply with local law	NaN	NaN	NaN	NaN
18.2 Right to correction : If the information we have collected from you is incorrect or incomplete , you may immediately request us to correct it in accordance with Article 16 of the GDPR .	NaN	NaN	NaN	NaN
1 GDPR applies , you can request us to delete your personal data immediately , unless there is an exception to the deletion obligation in accordance with Article 17 para	NaN	NaN	NaN	NaN
Insofar as the user changes or corrects the information provided by him and thereby deletes old entries , these data previously entered by him will be irreversibly and completely deleted	NaN	NaN	NaN	NaN
An application for correction or deletion is not necessary in this respect	NaN	NaN	NaN	NaN
Notwithstanding this , the user has the right at any time to demand the correction of inaccurate data stored about him at JAUMO	NaN	NaN	NaN	NaN
The easiest way for the user is to change his entries himself	NaN	NaN	NaN	NaN
If the user finally deletes his entire profile and thus terminates his membership with JAUMO , all data previously entered by him in his profile will be completely deleted	['delete']	NaN	['delete']	['his entire profile']
Excluded from the deletion are the duration of the membership , if necessary the reason for the termination of the membership as well as anonymous statistical data about the previous user behaviour	NaN	NaN	NaN	NaN
Irrespective of this , the user has the right at any time to request the deletion of all personal data collected by him which is stored about him at JAUMO	NaN	NaN	NaN	NaN
The easiest option for the user is to delete his entries himself , even in this case .	NaN	NaN	NaN	NaN
You can always change or replace your name and avatar within the App settings .	['change', 'replace']	NaN	NaN	['the app settings']
You can either exercise your rights by deleting certain features through your device or by emailing us at -Email- to exercise all the other rights .	NaN	['your rights']	['email','delete']	['your device', '-Email-']
When using our products and services , you can always manage , review and update information in your account , for instance , you can manage your personal information at any time , such as your Keep ID and photo .	manage', 'review', 'update']	NaN	NaN	['your account']
You can also remove or delete content from your account or entirely delete your whole Keep account .	['remove', 'delete']	NaN	NaN	['your account, your whole Keep account']
c ) right to correction if your personal data is not complete or accurate ;	NaN	NaN	NaN	NaN
Where applicable , we will delete your personal data upon your request .	NaN	NaN	NaN	NaN
update or to delete the information we have on you	NaN	NaN	NaN	NaN
Whenever made possible , you can access , update or request deletion of your Personal Data	NaN	NaN	NaN	NaN
You have the right to delete your personal data by sending an email requesting so to -Email-	['delete']	['the right']	['send']	['-Email-']
You can edit your personal data at any time within the Apps profile page	['edit']	NaN	NaN	['the Apps profile page']
This notwithstanding , the user has the right at all times to demand the correction of any inaccurate data concerning him/her stored with LingoDeer	NaN	NaN	NaN	NaN
