sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
Right to Restrict the Processing	NaN	NaN	NaN	NaN
According to article 18 of the General Data Protection Regulation ( GDPR ) you are entitled to demand of us to limit the processing of your personal data , provided certain pre-conditions are met .	NaN	NaN	NaN	NaN
Right to limit data collection in accordance with Art	NaN	NaN	NaN	NaN
Right to restriction : Your have the right to prevent a company from processing certain types of personal data .	NaN	NaN	NaN	NaN
Users have the right , under certain circumstances , to restrict the processing of their Data .	NaN	NaN	NaN	NaN
Request restriction of processing your personal data : This enables you to ask us to suspend the processing of your personal data in the following scenarios : ( a ) if you want us to establish the datas accuracy ; or ( b ) you have objected to our use of your data but we need to verify whether we have overriding legitimate grounds to use it	NaN	NaN	NaN	NaN
18.3 Right to limitation of processing : Under the conditions of Article 18 of the GDPR , you may also request that the processing of personal data concerning you be restricted	NaN	NaN	NaN	NaN
After the restriction , your data may only be processed with your consent or for the purpose of asserting , exercising or defending rights , or for the protection of the rights of another natural or legal person , or on grounds of an important public interest of the Union or a Member State	NaN	NaN	NaN	NaN
We will inform you before the restriction is lifted .	NaN	NaN	NaN	NaN
d ) right to deletion or restriction of your personal data , as permitted by law ;	NaN	NaN	NaN	NaN
You have the right to request that we restrict the processing of your personal information .	NaN	NaN	NaN	NaN
If you choose to limit the ways we can use your personal information , some or all of the Services may not be available to you .	NaN	NaN	NaN	NaN
You have the right to restrict our processing your personal information where one of the following applies :	NaN	NaN	NaN	NaN
Subject to the following conditions , you may , pursuant to Art	NaN	NaN	NaN	NaN
18 , request that the processing of personal data concerning you be restricted	NaN	NaN	NaN	NaN
You can assert your right to limit the processing of your personal data when :	NaN	NaN	NaN	NaN
you have the right to ask the restriction of the processing or deletion of your personal data	NaN	NaN	NaN	NaN
Each data subject shall have the right granted by the European legislator to obtain from the controller restriction of processing where one of the following applies	NaN	NaN	NaN	NaN
You can control and limit our use of your advertising ID in your device settings .	['control', 'limit']	NaN	NaN	['your device settings']
Right to restrict processing of your personal information in accordance with Art	NaN	NaN	NaN	NaN
you can contact us if you want to restrict processing )	NaN	NaN	NaN	NaN
You can also ask for deletion of your data and request to limit the processing of your data or object to it .	NaN	NaN	NaN	NaN
You can ask us to restrict ,	NaN	NaN	NaN	NaN
Right to estriction of processing We are in some circumstances required to restrict our use of Your personal data on Your request .	NaN	NaN	NaN	NaN
