sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
You are also entitled to transfer the data to another responsible party without any hinderance from our side , provided the processing is based on any agreement based on article 6 paragraph 1 letter a , or article 9 paragraph 2 letter a , or on a contract according to article 6 paragraph 1 letter b , and the transfer is done via automated tools .	NaN	NaN	NaN	NaN
Additionally , you also have the right to data portability if it should become relevant and required by applicable laws .	NaN	NaN	NaN	NaN
Right to take your data with you in accordance with Art	NaN	NaN	NaN	NaN
Right to portability of the data : You have the right access your personal data and transfer them to other data controllers .	NaN	NaN	NaN	NaN
Users have the right to learn if Data is being processed by the Owner , obtain disclosure regarding certain aspects of the processing and obtain a copy of the Data undergoing processing .	NaN	NaN	NaN	NaN
Users have the right to receive their Data in a structured , commonly used and machine readable format and , if technically feasible , to have it transmitted to another controller without any hindrance	NaN	NaN	NaN	NaN
18.6 Right to information : If you have exercised your right to correct , delete or restrict processing against us , we are obliged under Article 19 GDPR to inform all recipients of your personal data of this , unless the notification is impossible or involves disproportionate effort	NaN	NaN	NaN	NaN
They also have the right to be informed of the recipients	NaN	NaN	NaN	NaN
The person responsible shall have the right to be informed of such recipients .	NaN	NaN	NaN	NaN
18.7 Right to data transferability : In addition , according to Article 20 GDPR , you have the right to receive personal data concerning you from us in machine-readable format and to transmit the data to another person responsible without obstruction , provided that the requirements of Article 20 Para	NaN	NaN	NaN	NaN
You can export a copy of content in your Keep Account if you want to back it up or use it with a service outside of Keep by sending your request -Email- .	['export']	['a copy']	['send']	['your keep account', '-Email-']
b ) right to data portability ( i.e	NaN	NaN	NaN	NaN
you have the right to receive your personal data in a structured , commonly used and machine-readable format and have the right to transmit those data to another controller ) ;	NaN	NaN	NaN	NaN
You may obtain a copy of the personal data held about you that you provide through the Site or otherwise request that LingoDeer updates , make changes or deletes personal information by sending an email to -Email- .	['obtain']	['a copy']	['send']	['-Email-']
Right to Access and/or Take Your Data : You can asus for a copy of your personal data and can ask for a copy of personal data you provided in machine readable form .	NaN	NaN	NaN	NaN
In accordance with article 20 of the GDPR , you have the right to receive the personal data concerning you that you have provided to the data controller in a structured , current and machine-readable format .	NaN	NaN	NaN	NaN
to receive a copy of your personal data	NaN	NaN	NaN	NaN
