sentence	rightVerbs	rightNouns	accessVerbs	accessNouns
You can disable the sharing of you position at any time by adapting your browser settings accordingly .	['disable']	NaN	['adapt']	['your browser settings']
You can object to this use at any time , which will result in you being deleted from our email list .	NaN	NaN	NaN	NaN
According to article 21 of the General Data Protection Regulation ( GDPR ) you are entitled to object against your personal datas processing based on article 6 paragraph e or f of the General Data Protection Regulation ( GDPR ) .	NaN	NaN	NaN	NaN
You have a right to ask us to stop using or limit our use of your personal information in certain circumstances	NaN	NaN	NaN	NaN
Right to oppose : You have the right to withdraw your consent to the processing of your data for public interest , marketing or research .	NaN	NaN	NaN	NaN
Right to reject automatic decisions : You have the right to oppose your data from being processed by automatic systems .	NaN	NaN	NaN	NaN
Users have the right to object to the processing of their Data if the processing is carried out on a legal basis other than consent	NaN	NaN	NaN	NaN
Further details are provided in the dedicated section below .	NaN	NaN	NaN	NaN
Details about the right to object to processing	NaN	NaN	NaN	NaN
Users must know that , however , should their Personal Data be processed for direct marketing purposes , they can object to that processing at any time without providing any justification	NaN	NaN	NaN	NaN
Object to processing of your personal data : Where we are relying on a legitimate interest ( or those of a third party ) and there is something about your particular situation which makes you want to object to processing on this ground as you feel it impacts on your fundamental rights and freedoms .	NaN	NaN	NaN	NaN
You also have the right to object where we are processing your personal data for direct marketing purposes	NaN	NaN	NaN	NaN
Right of objection : You have the right to object at any time to JAUMOs processing of your personal data in accordance with Art	NaN	NaN	NaN	NaN
e ) right to object ( i.e	NaN	NaN	NaN	NaN
you have the right to object to our processing of your personal data , as permitted by law )	NaN	NaN	NaN	NaN
If you wish to object to this use of your data , you can do so by canceling our newsletters in any of the emails we sent .	['object']	NaN	['cancel']	['our newsletters']
Object to , or Limit or Restrict , Use of Data : You can ask us to stop using all or some of your personal data ( e.g. , if we have no legal right to keep using it ) or to limit our use of it ( e.g. , if your personal data is inaccurate or unlawfully held ) .	NaN	NaN	NaN	NaN
Right to withdraw consent	NaN	NaN	NaN	NaN
If we rely on consent to process your personal information , you have the right to withdraw your consent at any time .	NaN	NaN	NaN	NaN
You have objected to processing , pending the verification whether the legitimate grounds of our processing override your rights .	NaN	NaN	NaN	NaN
In accordance with Article 21 GDPR , and for reasons arising from your particular situation , you have the right to object at any time to the processing of the data in accordance with Section 1.1	NaN	NaN	NaN	NaN
In order to exercise a respective objection	NaN	NaN	NaN	NaN
This means that a users data shall only be processed if the user has given his or her legal permission for us to do so .	NaN	NaN	NaN	NaN
withdraw consent for your processing of data , when we do this in accordance with a legitimate interest	NaN	NaN	NaN	NaN
ight to revoke consent	NaN	NaN	NaN	NaN
Your browser will need to accept cookies for the opt-out process to work	NaN	NaN	NaN	NaN
You may opt out of such direct marketing at any time .	NaN	NaN	NaN	NaN
You can opt-out of having made your activity on the Service available to Google Analytics by installing the Google Analytics opt-out browser add-on .	['opt-out']	NaN	['install']	['Google Analytics opt-out browser add-on']
You can opt-out from Flurry Analytics service to prevent Flurry Analytics from using and sharing your information by visiting the Flurry 's Opt-out page : -URL-	['opt-out'']	NaN	['visit']	["the flurry 's opt-out page",'url']
to oppose the processing of your data under the conditions set forth by article 21 of the GDPR ,	NaN	NaN	NaN	NaN
If you decide that you do not want a personalized advertising experience , we will not process your personal data for this purpose .	NaN	NaN	NaN	NaN
Withdrawal of Consent : You can withdraw your consent to MoPubs personalized advertising experience at any time .	NaN	NaN	NaN	NaN
However , as noted above , if you live in the European Economic Area , the United Kingdom , or Switzerland , you can exercise control over whether we continue to process your personal data , and request that we delete or de-identify such personal data , by withdrawing your consent at any time	NaN	NaN	NaN	NaN
You can also contact us using the details below .	NaN	NaN	NaN	NaN
If you withdraw your consent ( if you are located in the European Economic Area , the United Kingdom , or Switzerland ) or opt-out ( if you are located in the United States or another country ) , we will also inform our current MoPub Partners with whom we have shared your data of your withdrawal or opt-out so that they , as independent controllers of your personal data , can also respect your choice .	NaN	NaN	NaN	NaN
Data subjects are at any time entitled to revoke the respective separate declaration of consent issued by means of the double-opt-in procedure .	NaN	NaN	NaN	NaN
g ) Right to object	NaN	NaN	NaN	NaN
