NOUN	NOUN_weight	PROPN	PROPN_weight	VERB	VERB_weight	KeyBert	KeyBert_weight
complaint	0.7773399014778325	gdpr	0.0748768472906404	lodge	0.483743842364532	complaint	0.8
right	0.6916256157635468	personal	0.0433497536945812	contact	0.1044334975369458	authority	0.7655172413793103
authority	0.554679802955665	protection	0.0413793103448275	complain	0.0788177339901477	right	0.7034482758620689
datum	0.2216748768472906	data	0.0364532019704433	process	0.0788177339901477	lodge	0.5793103448275863
processing	0.1605911330049261	authority	0.0334975369458128	resolve	0.0581280788177339	supervisory	0.5724137931034483
information	0.1586206896551724	office	0.0334975369458128	believe	0.0463054187192118	protection	0.3931034482758621
use	0.1172413793103448	ico	0.0325123152709359	consider	0.0413793103448275	data	0.3724137931034483
protection	0.0857142857142857	eu	0.0275862068965517	allege	0.0413793103448275	personal	0.3724137931034483
data protection authority	0.083743842364532	personal data	0.025615763546798	infringe	0.0413793103448275	datum	0.2758620689655172
collection	0.0827586206896551	eea	0.0197044334975369	file	0.0403940886699507	information	0.2
infringement	0.0827586206896551	uk	0.0177339901477832	wish	0.0364532019704433	processing	0.1655172413793103
data	0.0798029556650246	eu member state	0.0177339901477832	reside	0.0334975369458128	use	0.1310344827586207
work	0.0689655172413793	article	0.0177339901477832	submit	0.0325123152709359	contact	0.1241379310344827
concern	0.0689655172413793	state	0.0167487684729064	include	0.025615763546798	relevant	0.1103448275862069
way	0.0669950738916256	data protection authority	0.0157635467980295	raise	0.0246305418719211	make	0.1034482758620689
law	0.0650246305418719	member state	0.0157635467980295	agree	0.0206896551724137	complain	0.1034482758620689
country	0.0620689655172413	member	0.0157635467980295	respond	0.0206896551724137	gdpr	0.0896551724137931
data protection	0.0532019704433497	information commissioners office	0.0147783251231527	take	0.0206896551724137	competent	0.0896551724137931
time	0.0482758620689655	data protection supervisory authority	0.0147783251231527	make	0.0197044334975369	process	0.0896551724137931
prejudice	0.0413793103448275	information commissioner	0.0147783251231527	receive	0.0187192118226601	law	0.0896551724137931
place	0.0394088669950738	supervisory authority	0.0137931034482758	exercise	0.0187192118226601	local	0.0896551724137931
issue	0.0285714285714285	supervisory	0.0137931034482758	situate	0.0177339901477832	collection	0.0827586206896551
addition	0.0275862068965517	information	0.0118226600985221	relate	0.0177339901477832	infringement	0.0827586206896551
accordance	0.0275862068965517	general data protection regulation	0.0098522167487684	entitle	0.0167487684729064	privacy	0.0758620689655172
user	0.0275862068965517	european economic area	0.0098522167487684	let	0.0137931034482758	state	0.0758620689655172
practice	0.0226600985221674	irish data protection commission	0.0098522167487684	know	0.0137931034482758	way	0.0689655172413793
privacy	0.0216748768472906	privacy	0.0098522167487684	supervise	0.0137931034482758	concern	0.0689655172413793
remedy	0.0206896551724137	european	0.0098522167487684	occur	0.0137931034482758	applicable	0.0689655172413793
art	0.0206896551724137	privacy shield	0.0088669950738916	live	0.0137931034482758	country	0.0620689655172413
residence place	0.0197044334975369	privacy policy	0.0078817733990147	feel	0.0137931034482758	resolve	0.0620689655172413
data protection law	0.0197044334975369	european union	0.0078817733990147	constitute	0.0137931034482758	member	0.0620689655172413
datum protection	0.0197044334975369	singapore	0.0068965517241379	carry	0.012807881773399	work	0.0620689655172413
regulator	0.0197044334975369	medium	0.0068965517241379	bring	0.0118226600985221	place	0.0551724137931034
alternative	0.0177339901477832	informationsfreiheit	0.0068965517241379	provide	0.0118226600985221	eu	0.0551724137931034
service	0.0167487684729064	uber	0.0068965517241379	accord	0.0098522167487684	office	0.0482758620689655
email	0.0147783251231527	jams	0.0068965517241379	send	0.0098522167487684	time	0.0482758620689655
breach	0.0147783251231527	principles	0.0068965517241379	mention	0.0098522167487684	file	0.0482758620689655
residence	0.0147783251231527	huuuges	0.0068965517241379	base	0.0078817733990147	allege	0.0482758620689655
article	0.0137931034482758	datainspektionen	0.0068965517241379	use	0.0068965517241379	prejudice	0.0413793103448275
appeal	0.0137931034482758	datenschutz	0.005911330049261	arise	0.0068965517241379	ico	0.0413793103448275
existence	0.0137931034482758	commissioners	0.005911330049261	think	0.0068965517241379	believe	0.0413793103448275
response	0.0137931034482758	commission	0.005911330049261	handle	0.0068965517241379	email	0.0413793103448275
violation	0.0137931034482758	commissioner	0.005911330049261	report	0.0068965517241379	consider	0.0413793103448275
question	0.0137931034482758	shield	0.005911330049261	authorize	0.0068965517241379	wish	0.0413793103448275
event	0.0137931034482758	supervisory authority autoriteit persoonsgegevens	0.0049261083743842	hear	0.0068965517241379	infringe	0.0413793103448275
person	0.0137931034482758	personal data protection commission	0.0049261083743842	reach	0.0068965517241379	77	0.0344827586206896
