8	You can disable the sharing of you position at any time by adapting your browser settings accordingly . 
8	You can object to this use at any time , which will result in you being deleted from our email list . 
6	According to article 16 of the General Data Protection Regulation ( GDPR ) you are entitled to demand of us to rectify any incorrect personal data concerning you with no delay . 
6	You have the right to demand of us to delete your personal data with no delay . 
7	Right to Restrict the Processing 
7	According to article 18 of the General Data Protection Regulation ( GDPR ) you are entitled to demand of us to limit the processing of your personal data , provided certain pre-conditions are met . 
9	You are also entitled to transfer the data to another responsible party without any hinderance from our side , provided the processing is based on any agreement based on article 6 paragraph 1 letter a , or article 9 paragraph 2 letter a , or on a contract according to article 6 paragraph 1 letter b , and the transfer is done via automated tools . 
8	According to article 21 of the General Data Protection Regulation ( GDPR ) you are entitled to object against your personal datas processing based on article 6 paragraph e or f of the General Data Protection Regulation ( GDPR ) . 
10	According to article 77 of the General Data Protection Regulation ( GDPR ) you are entitled to the right of appeal to the supervisory authority without prejudice to any wider administrative or judicial remedy . 
6	You have the right to request to review , correct , update or delete inaccuracies to certain information about you that we keep on file by logging into your account to update your relevant information 
9	Additionally , you also have the right to data portability if it should become relevant and required by applicable laws . 
8	You have a right to ask us to stop using or limit our use of your personal information in certain circumstances 
10	In addition to those rights , you have the right to lodge a complaint with relevant supervisory authorities . 
6	Right to have your data deleted in accordance with Art 
7	Right to limit data collection in accordance with Art 
9	Right to take your data with you in accordance with Art 
5	Right to access : You have the right to access and a request a copy of your data which have been gathered . 
6	Right to rectification : You have the right to modify and update your personal data when incorrect data are being used . 
6	Right to removal : You have the right to delete all personal data that have been gathered . 
7	Right to restriction : Your have the right to prevent a company from processing certain types of personal data . 
9	Right to portability of the data : You have the right access your personal data and transfer them to other data controllers . 
8	Right to oppose : You have the right to withdraw your consent to the processing of your data for public interest , marketing or research . 
8	Right to reject automatic decisions : You have the right to oppose your data from being processed by automatic systems . 
6	Therefore , the right to access , the right to erasure , the right to rectification and the right to data portability can not be enforced after expiration of the retention period . 
8	Users have the right to object to the processing of their Data if the processing is carried out on a legal basis other than consent 
8	Further details are provided in the dedicated section below . 
9	Users have the right to learn if Data is being processed by the Owner , obtain disclosure regarding certain aspects of the processing and obtain a copy of the Data undergoing processing . 
6	Users have the right to verify the accuracy of their Data and ask for it to be updated or corrected . 
7	Users have the right , under certain circumstances , to restrict the processing of their Data . 
6	Have their Personal Data deleted or otherwise removed 
6	Users have the right , under certain circumstances , to obtain the erasure of their Data from the Owner . 
9	Users have the right to receive their Data in a structured , commonly used and machine readable format and , if technically feasible , to have it transmitted to another controller without any hindrance 
10	Users have the right to bring a claim before their competent data protection authority . 
8	Details about the right to object to processing 
8	Users must know that , however , should their Personal Data be processed for direct marketing purposes , they can object to that processing at any time without providing any justification 
10	You have the right to make a complaint at any time to the Information Commissioners Office ( ICO ) , the UK supervisory authority for data protection issues ( www.ico.org.uk ) 
5	Request access to your personal data ( commonly known as a data subject access request ) : This enables you to receive a copy of the personal data we hold about you and to check that we are lawfully processing it . 
6	Request erasure of your personal data : This enables you to ask us to delete or remove personal data where there is no good reason for us continuing to process it 
6	You also have the right to ask us to delete or remove your personal data where you have successfully exercised your right to object to processing ( see below ) , where we may have processed your information unlawfully or where we are required to erase your personal data to comply with local law 
8	Object to processing of your personal data : Where we are relying on a legitimate interest ( or those of a third party ) and there is something about your particular situation which makes you want to object to processing on this ground as you feel it impacts on your fundamental rights and freedoms . 
8	You also have the right to object where we are processing your personal data for direct marketing purposes 
